session,subj,CDL_name,sex,breed,neutering_status,birth_date,test_date,block,condition,trial_num,Age,first_arm,sec_arm,third_arm,fourth_arm,fifth_arm,sixth_arm,sevth_arm,eigth_arm,first_error_position,return_to_arm,Lag_from_last_choice,adjacent_arms,total_mistakes
1,subj. 24,Robby,m,Jagdhundmischling,yes,01.09.2019,01.02.2023,2,forced,2,41,6,3,8,7,5,4,2,1,#N/A,#N/A,#N/A,1,0
1,subj. 24,Robby,m,Jagdhundmischling,yes,01.09.2019,01.02.2023,2,forced,3,41,5,1,7,6,4,3,2,5,8,1,7,2,1
1,subj.25,Lenny4,m,Podenco,yes,14.06.2019,06.02.2023,1,self-ordered,1,43,1,2,1,2,7,5,3,4,3,1,2,1,2
1,subj.25,Lenny4,m,Podenco,yes,14.06.2019,06.02.2023,1,self-ordered,2,43,2,1,5,3,2,1,5,3,5,1,4,2,4
1,subj.25,Lenny4,m,Podenco,yes,14.06.2019,06.02.2023,1,self-ordered,3,43,1,2,5,3,2,7,5,2,5,2,3,1,3
1,subj.25,Lenny4,m,Podenco,yes,14.06.2019,06.02.2023,2,forced,1,43,6,2,1,7,3,1,2,3,6,3,3,2,3
1,subj.25,Lenny4,m,Podenco,yes,14.06.2019,06.02.2023,2,forced,2,43,1,7,3,2,5,3,2,7,6,3,3,1,3
1,subj.25,Lenny4,m,Podenco,yes,14.06.2019,06.02.2023,2,forced,3,43,8,5,2,7,5,2,7,5,5,2,3,#DIV/0!,4
1,subj.26,Gandalf,m,Podenco,yes,15.07.2014,06.02.2023,1,self-ordered,1,102,2,3,7,4,1,3,6,8,6,2,4,1,1
1,subj.26,Gandalf,m,Podenco,yes,15.07.2014,06.02.2023,1,self-ordered,2,102,2,3,4,6,7,8,3,5,7,2,5,2,1
1,subj.26,Gandalf,m,Podenco,yes,15.07.2014,06.02.2023,1,self-ordered,3,102,1,2,3,5,8,7,6,1,8,1,7,2,1
