subj,CDL_name,sex,breed,neutering_status,birth_date,test_date,block,condition,trial_num,first_arm_,second_arm_,first_arm,sec_arm,third_arm,fourth_arm,fifth_arm,sixth_arm,sevth_arm,eigth_arm
subj.50,Akido,m,Mix(BorderCollie),yes,14.01.2025,07.05.2023,1,self-ordered,2,,,6,1,5,7,2,4,6,8
subj.50,Akido,m,Mix(BorderCollie),yes,14.01.2025,07.05.2023,1,self-ordered,3,,,4,7,2,7,1,3,5,7
subj.50,Akido,m,Mix(BorderCollie),yes,14.01.2025,07.05.2023,2,forced,1,,,4,1,2,5,8,7,2,1
subj.50,Akido,m,Mix(BorderCollie),yes,14.01.2025,07.05.2023,2,forced,2,,,6,8,5,3,2,4,7,1
subj.50,Akido,m,Mix(BorderCollie),yes,14.01.2025,07.05.2023,2,forced,3,,,7,3,1,3,5,7,1,2
subj.51,Lexi3,f,"Mix(Kelpie,Shepherddog)",yes,01.04.2019,07.05.2023,1,forced,1,,,8,4,,3,2,3,4,2
subj.51,Lexi3,f,"Mix(Kelpie,Shepherddog)",yes,01.04.2019,07.05.2023,1,forced,2,,,7,5,3,2,8,6,5,4
subj.51,Lexi3,f,"Mix(Kelpie,Shepherddog)",yes,01.04.2019,07.05.2023,1,forced,3,,,3,1,2,4,5,6,8,2
subj.51,Lexi3,f,"Mix(Kelpie,Shepherddog)",yes,01.04.2019,07.05.2023,2,self-ordered,1,,,2,3,4,6,8,2,3,2
subj.51,Lexi3,f,"Mix(Kelpie,Shepherddog)",yes,01.04.2019,07.05.2023,2,self-ordered,2,,,3,2,1,8,7,6,5,4
subj.51,Lexi3,f,"Mix(Kelpie,Shepherddog)",yes,01.04.2019,07.05.2023,2,self-ordered,3,,,7,6,3,2,7,5,3,2
subj.45,Loki6,m,BernerSennenhund,yes,22.07.2015,08.05.2023,1,forced,1,,,5,1,3,4,7,6,2,1
subj.45,Loki6,m,BernerSennenhund,yes,22.07.2015,08.05.2023,1,forced,2,,,4,6,2,4,7,5,2,1
subj.45,Loki6,m,BernerSennenhund,yes,22.07.2015,08.05.2023,1,forced,3,,,7,2,1,3,5,8,6,4
subj.45,Loki6,m,BernerSennenhund,yes,22.07.2015,08.05.2023,2,self-ordered,1,,,4,7,2,4,6,8,2,3
subj.45,Loki6,m,BernerSennenhund,yes,22.07.2015,08.05.2023,2,self-ordered,2,,,4,5,7,6,4,2,3,5
subj.45,Loki6,m,BernerSennenhund,yes,22.07.2015,08.05.2023,2,self-ordered,3,,,6,7,1,4,6,5,7,2
subj.66,Nikita,f,AustralianShepherd,no,22.06.2018,,1,self-ordered,2,,,,,,,,,,
subj.66,Nikita,f,AustralianShepherd,no,22.06.2018,,1,self-ordered,3,,,,,,,,,,
subj.66,Nikita,f,AustralianShepherd,no,22.06.2018,,2,forced,1,,,,,,,,,,
subj.66,Nikita,f,AustralianShepherd,no,22.06.2018,,2,forced,2,,,,,,,,,,
subj.66,Nikita,f,AustralianShepherd,no,22.06.2018,,2,forced,3,,,,,,,,,,
subj.60,Teodor,m,Mischling,yes,06.06.2018,,1,self-ordered,1,,,5,6,7,8,3,4,5,3
subj.60,Teodor,m,Mischling,yes,06.06.2018,,1,self-ordered,2,,,4,6,7,2,3,5,3,2
subj.60,Teodor,m,Mischling,yes,06.06.2018,,1,self-ordered,3,,,3,5,7,8,1,3,2,1
subj.60,Teodor,m,Mischling,yes,06.06.2018,,2,forced,1,,,8,4,5,6,3,2,1,7
subj.60,Teodor,m,Mischling,yes,06.06.2018,,2,forced,2,,,3,1,4,2,8,5,3,1
subj.60,Teodor,m,Mischling,yes,06.06.2018,,2,forced,3,,,5,7,3,4,6,8,2,1
